name,link_id,from_node_id,to_node_id,facility_type,dir_flag,length,lanes,capacity,free_speed,link_type,cost,VDF_fftt1,VDF_cap1,VDF_alpha1,VDF_beta1,VDF_theta1,VDF_gamma1,VDF_mu1,RUC_rho1,RUC_resource1,RUC_type,is_connector
,6973,2314,1963,Highway,1,0.0929919971993339,2.0,13000.0,0.00557951983196,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,6976,2315,1961,Highway,1,0.0029997278279373,2.0,13000.0,0.0001799836696762,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,6977,2315,1970,Highway,1,0.2776670713637002,2.0,13000.0,0.016660024281822,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,6980,2316,1956,Highway,1,0.0030005313259631,2.0,13000.0,0.0001800318795577,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,6981,2316,1958,Highway,1,0.4187577232925311,2.0,13000.0,0.0251254633975518,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,6983,2316,1922,Highway,1,0.4836258722988169,2.0,13000.0,0.029017552337929,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,6984,2317,1922,Highway,1,0.016187698177911,2.0,13000.0,0.0009712618906746,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,6985,2317,1956,Highway,1,0.4700237196445775,2.0,13000.0,0.0282014231786746,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,6987,2317,1958,Highway,1,0.8493761019109315,2.0,13000.0,0.0509625661146558,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,6988,2318,1958,Highway,1,0.0151976032898946,2.0,13000.0,0.0009118561973936,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,6990,2318,1956,Highway,1,0.4327875442616744,2.0,13000.0,0.0259672526557004,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,6992,2319,1953,Highway,1,0.0157578965523918,2.0,13000.0,0.0009454737931435,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,6993,2319,1952,Highway,1,0.0650273872599709,2.0,13000.0,0.0039016432355982,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,6994,2319,1921,Highway,1,0.2664305550659953,2.0,13000.0,0.0159858333039597,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,6996,2320,1926,Highway,1,0.0044992335749077,2.0,13000.0,0.0002699540144944,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,6999,2320,1960,Highway,1,0.5159603487193618,2.0,13000.0,0.0309576209231617,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,7000,2321,1938,Highway,1,0.0105000649659348,2.0,13000.0,0.000630003897956,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,7002,2321,1937,Highway,1,0.118116568516918,2.0,13000.0,0.007086994111015,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,7004,2322,1963,Highway,1,0.0132924881513172,2.0,13000.0,0.000797549289079,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,7005,2322,1962,Highway,1,0.1156046832101301,2.0,13000.0,0.0069362809926078,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,7011,2323,1939,Highway,1,0.6515331803904678,2.0,13000.0,0.039091990823428,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,7012,2324,1927,Highway,1,0.0277891879313648,2.0,13000.0,0.0016673512758818,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,7016,2325,1939,Highway,1,0.0290493949603621,2.0,13000.0,0.0017429636976217,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,7020,2326,1967,Highway,1,0.0183514294450104,2.0,13000.0,0.0011010857667006,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,7023,2326,1965,Highway,1,0.8368876922908624,2.0,13000.0,0.0502132615374517,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,7024,2327,1968,Highway,1,0.0219471845174698,2.0,13000.0,0.0013168310710481,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,7026,2327,1966,Highway,1,0.4030636091269787,2.0,13000.0,0.0241838165476187,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,7028,2328,1928,Highway,1,0.0267146453211462,2.0,13000.0,0.0016028787192687,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,7032,2329,1929,Highway,1,0.004500055555186,2.0,13000.0,0.0002700033333111,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,7036,2331,1937,Highway,1,0.0142849034174688,2.0,13000.0,0.0008570942050481,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,7037,2331,1938,Highway,1,0.093906028177946,2.0,13000.0,0.0056343616906767,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,7039,2331,1936,Highway,1,0.1785159515136368,2.0,13000.0,0.0107109570908182,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,7040,2332,1966,Highway,1,0.0219594637901828,2.0,13000.0,0.0013175678274109,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,7044,2333,1971,Highway,1,0.0045000102622591,2.0,13000.0,0.0002700006157355,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,7048,2334,1936,Highway,1,0.0148042622731242,2.0,13000.0,0.0008882557363874,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,7049,2334,1937,Highway,1,0.1558656865092789,2.0,13000.0,0.0093519411905567,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,7050,2334,1977,Highway,1,0.1644927765995358,2.0,13000.0,0.0098695665959721,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,7051,2334,1938,Highway,1,0.2452427497355102,2.0,13000.0,0.0147145649841306,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,7052,2335,1965,Highway,1,0.0060000848126968,2.0,13000.0,0.0003600050887618,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,7055,2335,1967,Highway,1,0.8142475996723709,2.0,13000.0,0.0488548559803422,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,7112,2348,1976,Highway,1,1.1582982275788272,2.0,13000.0,0.0694978936547296,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,7113,2348,1977,Highway,1,1.3148719259741797,2.0,13000.0,0.0788923155584507,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,7114,2348,1973,Highway,1,1.3607504733104676,2.0,13000.0,0.081645028398628,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,7115,2348,1936,Highway,1,1.3973072750772435,2.0,13000.0,0.0838384365046346,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,7116,2293,2348,Highway,1,1.163866219964647,2.0,13000.0,0.0698319731978788,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,7117,2294,2348,Highway,1,1.3218769691216767,2.0,13000.0,0.0793126181473006,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,7118,2287,2348,Highway,1,1.3720304406304824,2.0,13000.0,0.0823218264378289,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,7119,2334,2348,Highway,1,1.4102379887734464,2.0,13000.0,0.0846142793264067,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
