node_id,x_coord,y_coord,name
534,315651.0612,5810602.063,
535,315359.0612,5810796.063,
536,315540.0612,5810677.063,
537,315655.0612,5810625.063,
538,320478.8815,5811323.634,
539,320711.0612,5811446.063,
540,323673.0612,5810779.063,
541,317809.0612,5811145.063,
542,317871.7559,5811213.705,
543,320889.0612,5811380.063,
544,320921.0612,5811328.063,
545,320468.9819,5811546.235,
546,320491.0612,5811570.063,
547,320467.8664,5811598.129,
548,320497.0612,5811491.063,
549,320296.035,5811344.089,
550,320869.0612,5811488.063,
551,320886.0612,5811523.063,
552,317889.0612,5811313.063,
553,320972.0612,5811333.063,
554,320996.4946,5811381.289,
555,317901.0612,5811604.063,
556,318001.0612,5811498.063,
557,320224.2603,5811276.915,
558,320327.0297,5811278.411,
559,320792.0612,5811444.063,
560,320851.0612,5811394.063,
561,320745.0612,5811457.063,
562,320802.0612,5811488.063,
563,321033.0725,5811553.021,
564,321198.1446,5811597.39,
565,321323.0612,5810383.063,
566,321197.0612,5810299.063,
567,321453.1871,5810536.657,
568,317851.0612,5811494.063,
569,317866.1586,5811702.063,
570,315811.0612,5810584.063,
571,320090.5911,5816129.76,
572,320034.1761,5816129.399,
573,320128.0612,5816458.063,
574,319838.3541,5816052.071,
575,316402.5465,5810697.771,
576,316533.1974,5810795.74,
577,316228.0612,5810811.063,
578,316252.7859,5810721.408,
579,316202.3379,5811344.725,
580,316380.0612,5810786.063,
581,316476.0612,5810861.063,
582,316715.0612,5811103.063,
583,316663.0612,5811075.063,
584,316815.4673,5811136.784,
585,321556.0612,5812605.063,
586,321615.0612,5812541.063,
587,321525.356,5812663.179,
588,321664.0612,5812499.063,
589,321756.0612,5812449.063,
590,321808.64055,5812392.0225,
591,321861.2199,5812334.982,
592,321874.0612,5812249.063,
593,321874.0612,5812135.063,
594,321882.0612,5812079.063,
595,321930.0612,5812016.063,
596,322014.0612,5811934.063,
597,324024.0612,5813535.063,
598,323886.0612,5813546.063,
599,324016.2096,5813471.969,
600,323895.0612,5813624.063,
601,323847.2086,5813662.382,
602,323622.1611,5813681.966,
603,323642.0688,5813883.064,
604,323589.2164,5813365.632,
605,323781.0612,5813762.063,
606,323749.0612,5813873.063,
607,322315.7450666667,5808318.389000001,
608,318047.0612,5812395.063,
609,318123.1901,5812718.146,
610,318059.0612,5812394.063,
611,318006.9081,5812203.843,
612,317995.0612,5812204.063,
613,317922.9442,5811872.299,
614,322211.0612,5811801.063,
615,322936.0612,5811687.063,
616,322106.0612,5811625.063,
617,321861.0612,5811658.063,
618,321586.0612,5811683.063,
619,321481.361,5811678.241,
620,323076.0612,5813393.063,
621,322675.4369,5813441.356,
622,323180.0581,5813397.754,
623,323270.0245,5813398.316,
624,322607.5973,5808524.68,
625,322600.9965,5808431.193,
626,322628.0612,5808686.063,
627,322593.1055,5815143.029,
628,316718.392,5814127.84,
629,313089.0612,5810453.063,
630,313660.643,5810140.373,
631,313013.3957,5811523.889,
632,314233.0612,5811449.063,
633,314423.0612,5811396.063,
634,314597.0612,5811319.063,
635,314422.0612,5811379.063,
636,314234.0612,5811430.063,
637,314036.1747,5811455.085,
638,320182.0612,5815244.063,
639,320046.0612,5815204.063,
640,320244.0058,5815241.18,
641,319997.5612,5815165.063,
642,319949.0612,5815126.063,
643,320302.0612,5815208.063,
644,320342.9232,5815242.94,
645,320233.3277,5815107.875,
646,320426.0612,5815303.063,
647,320512.0222,5815319.274,
648,320592.0612,5815314.063,
649,320674.0612,5815285.063,
650,320736.0612,5815234.063,
651,320837.0087,5815183.659,
652,320996.3062,5815187.374,
653,321056.5739,5815225.539,
654,320912.0658,5815177.318,
655,321092.3732,5815279.855,
656,321117.1525,5815287.066,
657,320302.0612,5815526.063,
658,320351.0612,5815441.063,
659,320260.054,5815536.743,
660,320403.0612,5815378.063,
661,320464.0612,5815337.063,
662,320026.0612,5815685.063,
663,320088.0612,5815631.063,
664,319934.0612,5815723.063,
665,320145.0612,5815544.063,
666,319840.0612,5815732.063,
667,319675.01095,5815726.5235,
668,319840.0612,5815732.063,
669,319509.9607,5815720.984,
670,319416.7452,5815651.716,
671,319315.2249,5815606.494,
672,319145.9935,5815562.442,
673,319313.4799,5815611.706,
674,319017.2225,5815549.721,
675,318800.0604,5815557.286,
676,319147.0375,5815570.898,
677,325236.1824,5809878.13,
678,325445.0612,5809710.063,
679,325445.0612,5809710.063,
680,325236.1824,5809878.13,
681,325340.62179999996,5809794.0965,
682,326001.0612,5809504.063,
683,326040.7153,5809790.563,
684,318104.0612,5813263.063,
685,318109.0612,5813311.063,
686,318087.0612,5813234.063,
687,318053.0612,5813224.063,
688,317997.0612,5813285.063,
689,317998.0612,5813263.063,
690,318015.0612,5813235.063,
691,318064.0612,5813153.063,
