node_id,zone_id,name,bin_index,node_type,control_type,x_coord,y_coord,geometry,production,attraction
353,353,,,,,325997.0612,5815453.063,,1,1
354,354,,,,,325781.9774,5815477.207,,1,1
355,355,,,,,326139.0612,5815473.063,,1,1
356,356,,,,,326127.0612,5815891.063,,1,1
357,357,,,,,326091.0612,5816154.063,,1,1
358,358,,,,,326160.81185,5815798.8719999995,,1,1
359,359,,,,,326086.09835,5816351.814,,1,1
360,360,,,,,326054.0612,5816641.063,,1,1
361,361,,,,,326068.5451,5816756.0495,,1,1
362,362,,,,,326619.0612,5815508.063,,1,1
363,363,,,,,326537.0612,5815461.063,,1,1
364,364,,,,,313420.0612,5814077.063,,1,1
365,365,,,,,313025.0565,5814123.02,,1,1
366,366,,,,,313471.8941,5814028.569,,1,1
367,367,,,,,315138.0612,5813869.063,,1,1
368,368,,,,,315020.1862,5813839.094,,1,1
369,369,,,,,315250.443,5813822.047,,1,1
370,370,,,,,314074.0612,5814009.063,,1,1
371,371,,,,,313926.3305,5814026.914,,1,1
372,372,,,,,314152.0612,5813974.063,,1,1
373,373,,,,,313811.0612,5813999.063,,1,1
374,374,,,,,313872.5479,5814034.237,,1,1
375,375,,,,,313905.1315,5814030.791,,1,1
376,376,,,,,313732.9186,5809552.477,,1,1
377,377,,,,,323647.0612,5810730.063,,1,1
378,378,,,,,323510.0612,5810781.063,,1,1
379,379,,,,,323647.0612,5810742.063,,1,1
380,380,,,,,323712.0612,5810731.063,,1,1
381,381,,,,,323314.0612,5810839.063,,1,1
382,382,,,,,322958.0612,5811196.063,,1,1
383,383,,,,,322883.0612,5811308.063,,1,1
384,384,,,,,322806.2296,5811400.009,,1,1
385,385,,,,,322949.0612,5811224.063,,1,1
386,386,,,,,322995.0612,5811170.063,,1,1
387,387,,,,,323109.0612,5811030.063,,1,1
388,388,,,,,323185.126,5810950.125,,1,1
389,389,,,,,322932.0612,5811002.063,,1,1
390,390,,,,,322887.8424,5810680.116,,1,1
391,391,,,,,322921.1575,5811070.025,,1,1
392,392,,,,,323120.0612,5810830.063,,1,1
393,393,,,,,323219.0612,5810757.063,,1,1
394,394,,,,,324153.0612,5810695.063,,1,1
395,395,,,,,324226.0612,5810660.063,,1,1
396,396,,,,,324080.0612,5810730.063,,1,1
397,397,,,,,324279.0612,5810628.063,,1,1
398,398,,,,,324343.0612,5810630.063,,1,1
399,399,,,,,323842.0612,5810649.063,,1,1
400,400,,,,,323754.0612,5810616.063,,1,1
401,401,,,,,323972.0612,5810677.063,,1,1
402,402,,,,,323697.9545,5810619.458,,1,1
403,403,,,,,324641.0612,5810926.063,,1,1
404,404,,,,,324557.7745,5810947.839,,1,1
405,405,,,,,324691.0612,5810889.063,,1,1
406,406,,,,,324727.0612,5810842.063,,1,1
407,407,,,,,324766.0612,5810763.063,,1,1
408,408,,,,,324820.0612,5810728.063,,1,1
409,409,,,,,324820.0612,5810728.063,,1,1
410,410,,,,,324891.0612,5810796.063,,1,1
411,411,,,,,324962.0612,5810864.063,,1,1
412,412,,,,,324974.0612,5810938.063,,1,1
413,413,,,,,324998.0612,5810971.063,,1,1
414,414,,,,,325058.0612,5811010.063,,1,1
415,415,,,,,325089.8902,5811021.849,,1,1
416,416,,,,,325145.0612,5811034.063,,1,1
417,417,,,,,325184.0612,5811034.063,,1,1
418,418,,,,,325219.0612,5811005.063,,1,1
419,419,,,,,325456.0612,5810813.063,,1,1
420,420,,,,,325494.0612,5810784.063,,1,1
421,421,,,,,325607.0612,5810670.063,,1,1
422,422,,,,,325552.0612,5810699.063,,1,1
423,423,,,,,325142.5122,5811481.6715,,1,1
424,424,,,,,325284.0612,5811467.063,,1,1
425,425,,,,,325000.9632,5811496.28,,1,1
426,426,,,,,325356.0612,5811460.063,,1,1
427,427,,,,,325498.2732,5811501.154,,1,1
428,428,,,,,325581.0612,5811535.063,,1,1
429,429,,,,,325710.0612,5811579.063,,1,1
430,430,,,,,325792.0612,5811593.063,,1,1
431,431,,,,,325929.0612,5811580.563,,1,1
432,432,,,,,326066.0612,5811568.063,,1,1
433,433,,,,,325356.0612,5811429.063,,1,1
434,434,,,,,325424.0612,5811412.063,,1,1
435,435,,,,,325256.0612,5811429.063,,1,1
436,436,,,,,325474.0612,5811432.063,,1,1
437,437,,,,,326268.0177,5811456.691,,1,1
438,438,,,,,326212.8334,5811514.445,,1,1
439,439,,,,,324141.974,5814422.825999999,,1,1
440,440,,,,,324369.9643,5814412.335,,1,1
441,441,,,,,323913.9837,5814433.317,,1,1
442,442,,,,,324503.656,5814341.433,,1,1
443,443,,,,,324435.7215,5814389.403,,1,1
444,444,,,,,324731.7015,5814208.406,,1,1
