link_id,link_id_new,from_node_old,to_node_old,from_node_new,to_node_new,x_from,y_from,x_to,y_to,bias,mae,rmse,mape
10107,215,65096,65097,213,214,325088.8077,5808759.992,325120.4045,5809047.622,-41.09537,52.66208,59.17273,0.4621493
10108,216,65096,65098,213,215,325088.8077,5808759.992,325066.3221,5808486.714,,,,
10148,219,64549,64548,165,164,327080.0612,5808470.063,327107.794,5808755.551,,,,
10149,220,64549,318431,165,2283,327080.0612,5808470.063,327057.1334,5808215.942,,,,
10154,221,65129,65130,219,220,326737.0612,5809242.063,326773.5612,5809489.743,,,,
10155,222,65129,64536,219,160,326737.0612,5809242.063,326684.0339,5808819.712,6.111549,21.785103,28.443607,0.22961162
10156,223,64531,64530,155,154,326519.0612,5809264.063,326577.7428,5809715.609,,,,
10157,224,64531,64534,155,158,326519.0612,5809264.063,326468.2293,5808856.494,,,,
10158,225,65131,64536,221,160,326654.0612,5808545.063,326684.0339,5808819.712,,,,
10159,226,65131,318433,221,2284,326654.0612,5808545.063,326633.6141,5808270.409,,,,
10160,227,64537,64535,161,159,326212.0612,5808772.063,326224.7703,5808882.623,,,,
10161,228,64537,318435,161,2285,326212.0612,5808772.063,326166.469,5808291.454,,,,
10162,229,65132,64538,222,162,325897.0612,5808650.063,325925.0538,5808930.66,-29.590963,30.866938,41.250355,0.23622848
10163,230,65132,64541,222,163,325897.0612,5808650.063,325867.9497,5808370.123,-21.923876,28.694323,33.2665,0.27519897
10166,233,65133,65134,223,224,325182.8042,5809515.961,325236.1824,5809878.13,,,,
10167,234,65133,65097,223,214,325182.8042,5809515.961,325120.4045,5809047.622,-39.184185,41.374466,46.047592,0.40498543
10169,235,65135,65137,225,226,324379.2899,5809648.169,324329.2856,5809295.279,,,,
10170,236,65135,64464,225,97,324379.2899,5809648.169,324425.637,5809995.747,,,,
10171,237,64482,64481,115,114,324865.0612,5810371.063,325009.8937,5810350.373,,,,
10172,238,64482,64581,115,167,324865.0612,5810371.063,324487.1867,5810415.813,,,,
10173,239,65138,65139,227,228,321198.0612,5808677.063,320842.3925,5809057.336,,,,
10174,240,65138,318439,227,2287,321198.0612,5808677.063,321639.9016,5808304.501,,,,
10177,243,65144,65145,231,232,322249.0612,5809152.063,322171.7799,5809404.09,,,,
10178,244,65144,65146,231,233,322249.0612,5809152.063,322332.9536,5808882.438,-14.062718,20.76267,26.496712,0.16098695
10179,245,65088,65087,211,210,323353.9542,5809308.321,323113.9682,5809338.323,,,,
10180,246,65088,64480,211,113,323353.9542,5809308.321,323513.0702,5809282.603,,,,
10181,247,65147,65148,234,235,323917.0612,5813172.063,323984.0656,5813182.059,,,,
10182,248,65147,65149,234,236,323917.0612,5813172.063,323576.9135,5813216.946,,,,
10183,249,65150,65151,237,238,323452.0612,5812167.063,323486.055,5812475.698,-21.260798,21.260798,22.512342,0.4699225
10184,250,65150,64745,237,186,323452.0612,5812167.063,323397.2385,5811687.637,,,,
10185,251,65152,64741,239,182,324268.0612,5812215.063,324290.0488,5812386.699,,,,
10186,252,65152,65153,239,240,324268.0612,5812215.063,324193.2574,5811591.65,-59.78358,59.78358,63.222775,0.9265197
10187,253,65154,65155,241,242,323848.0612,5812081.063,323887.0582,5812429.695,,,,
10188,254,65154,65156,241,243,323848.0612,5812081.063,323798.0071,5811639.685,,,,
10189,255,65157,65158,244,245,324652.0612,5811984.063,324695.0218,5812346.659,,,,
10190,256,65157,65159,244,246,324652.0612,5811984.063,324603.985,5811543.711,-13.809001,17.824995,24.724306,0.14697759
10191,257,65160,65161,247,248,323048.0612,5812217.063,323081.2243,5812526.546,,,,
10192,258,65160,65162,247,249,323048.0612,5812217.063,323009.6769,5811905.631,,,,
10209,259,64752,64751,193,192,326796.0612,5814601.063,326832.9454,5814827.894,,,,
10210,260,64752,64757,193,198,326796.0612,5814601.063,326711.0612,5813936.063,,,,
10213,261,317281,65172,1930,250,327710.8621,5814090.577,327362.2658,5814138.36,,,,
10215,262,65174,65175,251,252,326670.0612,5812597.063,326356.2562,5812634.799,,,,
10216,263,65174,65176,251,253,326670.0612,5812597.063,327144.9655,5812534.208,,,,
10219,264,64757,64755,198,196,326711.0612,5813936.063,326700.5112,5813825.567,,,,
10220,265,64757,64752,198,193,326711.0612,5813936.063,326796.0612,5814601.063,,,,
10227,266,65186,65187,254,255,319393.0589,5817409.073,319831.0612,5817350.063,,,,
10228,267,65186,65188,254,256,319393.0589,5817409.073,319430.7806,5817704.863,,,,
10229,268,65186,65189,254,257,319393.0589,5817409.073,319086.9027,5817450.963,,,,
10230,269,65186,65190,254,258,319393.0589,5817409.073,319352.739,5817093.112,,,,
10231,270,65191,65187,259,255,320411.6792,5817274.267,319831.0612,5817350.063,,,,
10232,271,65191,65192,259,260,320411.6792,5817274.267,320409.8082,5817209.999,,,,
10233,272,65191,65193,259,261,320411.6792,5817274.267,320450.4114,5817575.023,,,,
10234,273,65194,318443,262,2289,319312.3093,5817724.265,319344.5706,5818024.231,,,,
10235,274,65194,65196,262,263,319312.3093,5817724.265,318906.7326,5817773.783,,,,
10236,275,65194,65188,262,256,319312.3093,5817724.265,319430.7806,5817704.863,,,,
10250,276,65210,65211,264,265,318495.1827,5817201.629,318333.0279,5817252.851,,,,
10251,277,65210,65212,264,266,318495.1827,5817201.629,319041.1255,5817133.049,,,,
10255,278,317283,65194,1931,262,319347.5518,5818023.896,319312.3093,5817724.265,,,,
10259,279,65187,65186,255,254,319831.0612,5817350.063,319393.0589,5817409.073,,,,
10260,280,65187,65191,255,259,319831.0612,5817350.063,320411.6792,5817274.267,,,,
10261,281,65192,65191,260,259,320409.8082,5817209.999,320411.6792,5817274.267,,,,
10262,282,65192,65216,260,267,320409.8082,5817209.999,320380.9971,5816957.131,,,,
10263,283,65217,65218,268,269,321012.9478,5817510.959,320989.0612,5817278.063,,,,
10264,284,65217,65193,268,261,321012.9478,5817510.959,320450.4114,5817575.023,-66.30941,66.30941,67.49848,0.6826499
10265,285,65217,65219,268,270,321012.9478,5817510.959,321343.0897,5817472.081,-79.07358,79.07358,81.751205,0.7620842
10266,286,65218,65217,269,268,320989.0612,5817278.063,321012.9478,5817510.959,,,,
10267,287,65218,65220,269,271,320989.0612,5817278.063,320940.3402,5816890.282,,,,
10268,288,65221,318445,272,2290,321402.0612,5817972.063,321424.1388,5818143.966,,,,
10269,289,65221,65223,272,273,321402.0612,5817972.063,321378.0612,5817743.063,,,,
10277,292,65234,318449,276,2292,320483.8069,5817879.983,320497.9289,5818141.142,,,,
10278,293,65234,65193,276,261,320483.8069,5817879.983,320450.4114,5817575.023,,,,
10280,295,65225,65236,275,277,322058.8069,5817691.983,322024.5419,5817394.243,,,,
10614,296,65523,318459,278,2295,327121.7778,5817033.304,327475.2577,5817479.808,,,,
11218,300,66070,66071,283,284,324738.0612,5816353.063,324749.9008,5816432.981,,,,
11219,301,66070,66072,283,285,324738.0612,5816353.063,324731.2314,5816280.454,16.77883,26.209879,33.206505,0.2910269
11220,302,66073,66074,286,287,325441.0612,5816631.063,325459.9781,5816785.071,,,,
11221,303,66073,66075,286,288,325441.0612,5816631.063,325412.4905,5816374.818,-19.520924,35.331207,40.85493,0.17293476
11222,304,66076,66077,289,290,325849.0612,5816862.063,326083.029,5816871.036,,,,
11223,305,66076,66078,289,291,325849.0612,5816862.063,325466.1022,5816868.079,,,,
11224,306,66079,66080,292,293,325815.2541,5816478.339,326081.1355,5816549.565,23.51975,28.695839,39.72531,0.13013081
11225,307,66079,66075,292,288,325815.2541,5816478.339,325412.4905,5816374.818,-16.538786,85.62702,94.76891,0.18368721
11228,310,66084,66085,297,298,324161.0669,5817015.857,323645.0993,5817087.05,-10.415596,18.960548,24.81993,0.11637714
11229,311,66084,66086,297,299,324161.0669,5817015.857,324782.0668,5816941.051,,,,
11230,312,66087,66085,300,298,323610.0612,5816803.063,323645.0993,5817087.05,,,,
11231,313,66087,66088,300,301,323610.0612,5816803.063,323582.8285,5816592.964,,,,
11232,314,66089,66090,302,303,325512.0612,5817245.063,325557.0715,5817672.095,,,,
