node_id,name,x_coord,y_coord,z_coord,node_type,ctrl_type,zone_id,parent_node_id
70622,,321874.0612,5812249.063,,,  ,,
70624,,321874.0612,5812135.063,,,  ,,
70625,,321882.0612,5812079.063,,,  ,,
70626,,321930.0612,5812016.063,,,  ,,
70627,,322014.0612,5811934.063,,,  ,,
70628,,324024.0612,5813535.063,,,  ,,
70629,,323886.0612,5813546.063,,,  ,,
70630,,324016.2096,5813471.969,,,  ,,
70631,,323895.0612,5813624.063,,,  ,,
70632,,323847.2086,5813662.382,,,  ,,
70633,,323622.1611,5813681.966,,,  ,,
70634,,323642.0688,5813883.064,,,Signal,,
70635,,323589.2164,5813365.632,,,Signal,,
70636,,323781.0612,5813762.063,,,  ,,
70637,,323749.0612,5813873.063,,,  ,,
70650,,318047.0612,5812395.063,,,  ,,
70651,,318123.1901,5812718.146,,,  ,,
70652,,318059.0612,5812394.063,,,  ,,
70653,,318006.9081,5812203.843,,,  ,,
70654,,317995.0612,5812204.063,,,  ,,
70655,,317922.9442,5811872.299,,,  ,,
70656,,322211.0612,5811801.063,,,  ,,
70657,,322936.0612,5811687.063,,,  ,,
70658,,322106.0612,5811625.063,,,  ,,
70659,,321861.0612,5811658.063,,,  ,,
70660,,321586.0612,5811683.063,,,  ,,
70661,,321481.361,5811678.241,,,  ,,
70662,,323076.0612,5813393.063,,,  ,,
70663,,322675.4369,5813441.356,,,Signal,,
70664,,323180.0581,5813397.754,,,Signal,,
70665,,323270.0245,5813398.316,,,  ,,
70666,,322607.5973,5808524.68,,,Signal,,
70667,,322600.9965,5808431.193,,,  ,,
70668,,322628.0612,5808686.063,,,  ,,
70784,,322593.1055,5815143.029,,,Signal,,
70813,,316718.392,5814127.84,,,  ,,
71305,,313660.643,5810140.373,,,  ,,
71421,,313013.3957,5811523.889,,,  ,,
71424,,314233.0612,5811449.063,,,  ,,
71425,,314423.0612,5811396.063,,,  ,,
71426,,314597.0612,5811319.063,,,  ,,
71427,,314422.0612,5811379.063,,,  ,,
71428,,314234.0612,5811430.063,,,  ,,
71429,,314036.1747,5811455.085,,,  ,,
71781,,320182.0612,5815244.063,,,  ,,
71782,,320046.0612,5815204.063,,,  ,,
71783,,320244.0058,5815241.18,,,Signal,,
71785,,319949.0612,5815126.063,,,  ,,
