loc_id,link_id,ref_node_id,lr,x_coord,y_coord,z_coord,loc_type,zone_id,gfts_stop_id
248021,42294,,,320481.7128,5811555.973,,Detector,,
248022,42294,,,320481.7128,5811555.973,,Detector,,
248023,42301,,,320471.6084,5811557.476,,Detector,,
248024,42301,,,320471.6084,5811557.476,,Detector,,
248025,42466,,,320473.1499,5811529.98,,Detector,,
248026,42466,,,320473.1499,5811529.98,,Detector,,
248027,42532,,,320455.0152,5811535.369,,Detector,,
248044,34417,,,321382.7858,5815281.669,,Detector,,
248045,34685,,,321359.7028,5815268.507,,Detector,,
248046,34685,,,321359.7028,5815268.507,,Detector,,
248047,34713,,,321398.2395,5815255.103,,Detector,,
248048,34713,,,321398.2395,5815255.103,,Detector,,
248049,34831,,,321373.7315,5815242.657,,Detector,,
248066,20741,,,321096.7365,5815286.284,,Detector,,
248067,34693,,,321136.4196,5815281.62,,Detector,,
248068,34930,,,321111.8197,5815268.633,,Detector,,
248069,34930,,,321111.8197,5815268.633,,Detector,,
248070,35148,,,321122.189,5815307.524,,Detector,,
248071,35148,,,321122.189,5815307.524,,Detector,,
248085,20737,,,320820.6238,5815197.197,,Detector,,
248086,20737,,,320820.6238,5815197.197,,Detector,,
248087,34749,,,320856.0982,5815179.507,,Detector,,
248088,34988,,,320832.128,5815166.833,,Detector,,
248089,34988,,,320832.128,5815166.833,,Detector,,
248103,34382,,,322086.6424,5815219.781,,Detector,,
248104,34382,,,322086.6424,5815219.781,,Detector,,
248105,34712,,,322058.677,5815205.618,,Detector,,
248106,34712,,,322058.677,5815205.618,,Detector,,
248107,34742,,,322098.7381,5815190.644,,Detector,,
248108,34742,,,322098.7381,5815190.644,,Detector,,
248109,35017,,,322075.5433,5815174.33,,Detector,,
248123,32063,,,321757.6971,5815192.293,,Detector,,
248124,34635,,,321768.9689,5815237.698,,Detector,,
248125,34711,,,321786.8819,5815212.453,,Detector,,
248126,34711,,,321786.8819,5815212.453,,Detector,,
248127,34714,,,321740.5558,5815222.274,,Detector,,
248140,34747,,,320800.6942,5814791.284,,Detector,,
248141,36596,,,320790.9281,5814758.994,,Detector,,
248142,40250,,,320812.259,5814770.352,,Detector,,
248143,40250,,,320812.259,5814770.352,,Detector,,
248157,32064,,,321707.9847,5814688.41,,Detector,,
248158,32064,,,321707.9847,5814688.41,,Detector,,
248159,35028,,,321686.6863,5814676.892,,Detector,,
248160,35028,,,321686.6863,5814676.892,,Detector,,
248161,35088,,,321719.3909,5814667.084,,Detector,,
248162,35088,,,321719.3909,5814667.084,,Detector,,
248163,35157,,,321698.0844,5814655.733,,Detector,,
248179,34970,,,321318.8565,5814731.236,,Detector,,
248180,34970,,,321318.8565,5814731.236,,Detector,,
248181,35015,,,321298.0007,5814720.223,,Detector,,
248182,35015,,,321298.0007,5814720.223,,Detector,,
248183,35060,,,321330.2311,5814710.258,,Detector,,
248184,35060,,,321330.2311,5814710.258,,Detector,,
248185,40252,,,321309.1565,5814698.923,,Detector,,
248203,34931,,,321061.7105,5814764.279,,Detector,,
248204,34931,,,321061.7105,5814764.279,,Detector,,
248205,35014,,,321073.1657,5814743.043,,Detector,,
248206,35014,,,321073.1657,5814743.043,,Detector,,
248207,35270,,,321052.119,5814731.935,,Detector,,
248208,40251,,,321040.8516,5814752.733,,Detector,,
248209,40251,,,321040.8516,5814752.733,,Detector,,
248226,22320,,,322514.6515,5814582.103,,Detector,,
248227,22322,,,322536.0322,5814595.205,,Detector,,
248228,22322,,,322536.0322,5814595.205,,Detector,,
248229,35131,,,322547.2727,5814574.324,,Detector,,
248230,35333,,,322526.1758,5814562.895,,Detector,,
248231,35333,,,322526.1758,5814562.895,,Detector,,
248244,35289,,,321268.2464,5814336.896,,Detector,,
248245,35294,,,321289.2174,5814348.212,,Detector,,
248246,35294,,,321289.2174,5814348.212,,Detector,,
248247,40253,,,321277.8668,5814369.233,,Detector,,
248260,35271,,,320764.1727,5814372.066,,Detector,,
248261,35271,,,320764.1727,5814372.066,,Detector,,
248262,35469,,,320743.1663,5814360.92,,Detector,,
248263,35469,,,320743.1663,5814360.92,,Detector,,
248264,36597,,,320751.3935,5814393.394,,Detector,,
248265,40248,,,320731.9349,5814382.013,,Detector,,
248281,35000,,,321014.0034,5814361.192,,Detector,,
248282,35000,,,321014.0034,5814361.192,,Detector,,
248283,35249,,,320992.9497,5814350.061,,Detector,,
248284,35249,,,320992.9497,5814350.061,,Detector,,
248285,35290,,,321025.2445,5814340.303,,Detector,,
248286,35290,,,321025.2445,5814340.303,,Detector,,
248287,35453,,,321004.0602,5814328.953,,Detector,,
248303,22319,,,322036.2382,5814629.243,,Detector,,
248304,22319,,,322036.2382,5814629.243,,Detector,,
248305,35018,,,322024.8054,5814650.263,,Detector,,
248306,35018,,,322024.8054,5814650.263,,Detector,,
248307,35061,,,322003.7466,5814637.53,,Detector,,
248308,35331,,,322015.1175,5814617.924,,Detector,,
248309,35331,,,322015.1175,5814617.924,,Detector,,
248323,35458,,,320710.4052,5813919.795,,Detector,,
248324,35470,,,320697.6086,5813939.349,,Detector,,
248325,35766,,,320689.3713,5813906.859,,Detector,,
248326,35766,,,320689.3713,5813906.859,,Detector,,
248327,36462,,,320677.7367,5813926.428,,Detector,,
248342,35385,,,320248.4225,5813971.61,,Detector,,
248343,35389,,,320263.842,5813988.025,,Detector,,
248344,35389,,,320263.842,5813988.025,,Detector,,
248345,36460,,,320287.7343,5813964.712,,Detector,,
248346,40275,,,320271.1864,5813947.902,,Detector,,
248347,40275,,,320271.1864,5813947.902,,Detector,,
248361,35723,,,320073.3411,5813753.924,,Detector,,
248362,36609,,,320040.5054,5813762.32,,Detector,,
248363,40278,,,320062.2451,5813775.329,,Detector,,
248364,40278,,,320062.2451,5813775.329,,Detector,,
248365,40279,,,320053.6624,5813742.536,,Detector,,
248380,35524,,,320101.4175,5813983.857,,Detector,,
