name,link_id,from_node_id,to_node_id,facility_type,dir_flag,length,lanes,capacity,free_speed,link_type,cost,VDF_fftt1,VDF_cap1,VDF_alpha1,VDF_beta1,VDF_theta1,VDF_gamma1,VDF_mu1,RUC_rho1,RUC_resource1,RUC_type,is_connector
,100,103,104,Highway,1,0.2245498246094326,1.0,1000.0,50.0,1,0,0.2694597895313191,1000.0,0.15,4,1.0,1,100,10,0,1,0
,101,103,105,Highway,1,0.2808614823962142,2.0,1500.0,90.0,1,0,0.1872409882641428,1500.0,0.15,4,1.0,1,100,10,0,1,0
,102,103,106,Highway,1,0.1794631397860946,1.0,750.0,90.0,1,0,0.1196420931907297,750.0,0.15,4,1.0,1,100,10,0,1,0
,103,104,103,Highway,1,0.2245498246094326,1.0,1000.0,50.0,1,0,0.2694597895313191,1000.0,0.15,4,1.0,1,100,10,0,1,0
,104,104,107,Highway,1,0.2245498246094326,1.0,1000.0,50.0,1,0,0.2694597895313191,1000.0,0.15,4,1.0,1,100,10,0,1,0
,105,108,109,Highway,1,0.4067501928545776,1.0,1000.0,50.0,1,0,0.4881002314254931,1000.0,0.15,4,1.0,1,100,10,0,1,0
,106,108,110,Highway,1,0.1068827643983616,2.0,1700.0,90.0,1,0,0.0712551762655744,1700.0,0.15,4,1.0,1,100,10,0,1,0
,107,108,111,Highway,1,0.2594359991411292,2.0,1700.0,90.0,1,0,0.1729573327607528,1700.0,0.15,4,1.0,1,100,10,0,1,0
,108,107,104,Highway,1,0.2245498246094326,1.0,1000.0,50.0,1,0,0.2694597895313191,1000.0,0.15,4,1.0,1,100,10,0,1,0
,109,107,112,Highway,1,0.2245498246094326,1.0,1000.0,50.0,1,0,0.2694597895313191,1000.0,0.15,4,1.0,1,100,10,0,1,0
,110,107,113,Highway,1,0.3121640750710738,2.0,1300.0,50.0,1,0,0.3745968900852886,1300.0,0.15,4,1.0,1,100,10,0,1,0
,111,107,105,Highway,1,0.2474703408068377,2.0,1300.0,50.0,1,0,0.2969644089682052,1300.0,0.15,4,1.0,1,100,10,0,1,0
,112,114,115,Highway,1,0.1463028679017344,1.0,1000.0,50.0,1,0,0.1755634414820813,1000.0,0.15,4,1.0,1,100,10,0,1,0
