link_id,from_node_id,to_node_id,time_period,volume,travel_time,speed,VOC,geometry
1598,1138,1144,AM,1629.9320623198353,1.8675813475841416,7.214137951203192,2.507587788184362,
1599,891,1145,AM,17192.149568515753,4.131770067799305,6.09339322195731,3.1837314015769915,
1600,1137,1108,AM,3472.4321791847765,1.3439534352639804,5.789870480094372,2.671101676295982,
1601,1137,1146,AM,12620.601198202685,154.7113280619666,0.05042344573183216,9.014715141573346,
1602,1137,1147,AM,4087.8438496914737,1.761708276116342,13.820277496113587,2.043921924845737,
1603,1137,1143,AM,4325.9463940138285,2.7836709880948503,2.578307243352716,3.3276510723183295,
1604,893,1148,AM,7440.7662916057,0.05486217793241538,64.90396239322489,1.377919683630685,
1605,963,1120,AM,4646.649859509638,1.528173798425337,14.137990747647013,2.445605189215599,
1606,963,719,AM,6068.503538790998,0.4318524685635895,5.4184180605107635,3.1939492309426307,
1607,1146,1137,AM,5185.8760605492425,4.562100559424648,1.7099750768352406,3.704197186106602,
1608,1146,1139,AM,12620.601198202685,153.63368787909508,0.05042344573183218,9.014715141573346,
1609,1115,1075,AM,1105.1338666139836,0.3788492607202949,46.36761278204249,0.850102974318449,
1610,1115,765,AM,5318.58790924844,14.141423907630891,1.1621268226845365,4.0912214686526465,
1611,1139,1126,AM,1061.7849544536384,0.11526269178533355,47.63593154959527,0.7584178246097417,
1612,1139,1146,AM,5185.8760605492425,4.530323294354778,1.7099750768352413,3.704197186106602,
1613,1139,984,AM,12625.074978517341,466.3635705401542,0.05035208409923036,9.017910698940957,
1614,1139,1149,AM,2074.6413404153946,0.3305574648191175,29.013182198249847,1.4818866717252819,
1615,1150,1151,AM,1910.7693983033562,0.11483972297711112,87.35259290225824,0.6704454029134583,
1616,1150,1152,AM,14437.743093020976,3.6354908149117064,2.79004962663115,3.799406077110783,
1617,1150,1153,AM,1164.6278020959824,0.082097819728842,59.505064239170906,0.4852615842066593,
1618,1060,1052,AM,2501.1578548968523,0.21808146378596743,16.364826720962117,1.9239675806898864,
1619,1060,1073,AM,3903.3564351768573,3.4308551673828673,3.7902102345755564,3.002581873212967,
1620,1073,946,AM,4560.138972574098,5.803480008734415,2.1087542524383944,3.5077992096723833,
1621,1073,1060,AM,2613.679135833776,0.8974887393012003,14.488942088438732,2.0105224121798275,
1622,1073,1154,AM,1367.6353263348822,0.10561525733352238,59.065749683717634,0.5698480526395342,
1623,1154,872,AM,1433.4723352103306,0.14492717426866927,45.96157364528403,1.194560279341942,
1624,833,832,AM,6775.074156397541,0.8668160156030122,15.54307861650813,2.3772190022447512,
1625,833,1127,AM,3458.262441188583,0.34002503743472456,67.91454286913319,1.2134254179609063,
1626,833,1117,AM,2774.5674614466425,1.1081333874254524,12.158274111628394,2.1342826626512634,
1627,833,1155,AM,1738.3729940660799,1.9726622251309345,5.7644952843811845,2.674419990870892,
1628,984,982,AM,1128.9026023038589,0.20585600560016987,88.34841281786788,0.5941592643704521,
1629,984,1139,AM,3481.0017783562253,3.162224743540629,7.425904111534724,2.486429841683018,
1630,984,765,AM,12614.188394818571,6060.1603236262035,0.0031608668202468375,18.020269135455102,
1631,984,1156,AM,6801.997400446241,5.315887264005224,3.5102802310897756,3.5799986318138113,
1632,880,448,AM,6847.234532289982,0.13771711973762227,20.249074371225262,1.9020095923027727,
1633,972,1118,AM,6594.2503982667295,1.036733665003042,16.98414278457548,2.3137720695672734,
1634,972,718,AM,11822.810887205786,1.8884414828681788,5.9779647932477715,3.111266022948891,
1635,765,764,AM,398.79748139865444,0.4955414489428601,49.22219681168187,0.5697106877123634,
1636,765,1115,AM,798.6775564956013,0.3357064948709534,48.95385786422618,0.6143673511504625,
1637,765,984,AM,4938.759758402577,9.282718245040975,2.0635506956768404,3.5276855417161266,
1638,765,1157,AM,17604.307862069603,2198.8530994237017,0.009910378605590422,13.541775278515079,
